,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[24, 2]",0.402,1.615,-1.532,4.199,0.602,0.444,6.0,29.0,2.04
"fc1_weight[24, 3]",-4.241,8.639,-23.276,1.301,3.745,2.808,6.0,23.0,1.79
"fc1_weight[25, 0]",1.918,10.913,-13.288,25.092,4.889,3.683,6.0,28.0,1.74
"fc1_weight[25, 1]",2.37,12.249,-25.506,18.485,4.759,3.526,10.0,31.0,1.51
"fc1_weight[25, 2]",-2.589,6.727,-16.651,2.013,2.525,1.864,6.0,54.0,1.9
"fc1_weight[25, 3]",4.575,6.222,-4.585,17.677,2.642,1.976,5.0,27.0,2.08
"fc1_weight[26, 0]",-2.348,13.595,-20.327,24.238,6.465,4.913,5.0,16.0,2.28
"fc1_weight[26, 1]",2.299,8.425,-14.361,15.456,3.971,3.013,5.0,34.0,2.42
"fc1_weight[26, 2]",-0.326,1.019,-1.539,1.112,0.173,0.151,13.0,33.0,1.28
"fc1_weight[26, 3]",3.804,8.024,-8.313,20.094,3.816,2.9,5.0,18.0,2.87
"fc1_weight[27, 0]",-8.074,12.827,-25.489,10.025,6.128,4.66,6.0,80.0,1.93
"fc1_weight[27, 1]",5.68,12.426,-17.414,23.05,5.837,4.427,5.0,12.0,2.14
"fc1_weight[27, 2]",-2.342,6.183,-17.526,1.055,2.736,2.057,7.0,12.0,1.52
"fc1_weight[27, 3]",1.107,5.846,-5.385,14.955,2.638,1.989,5.0,13.0,2.42
fc1_weight_precision,0.01,0.003,0.005,0.015,0.001,0.001,10.0,51.0,1.31
fc2_bias[0],-0.006,0.185,-0.33,0.383,0.064,0.047,9.0,29.0,1.39
fc2_bias_precision,1.462,1.183,0.002,3.59,0.021,0.015,2029.0,1929.0,1.0
"fc2_weight[0, 0]",0.029,0.475,-0.862,0.717,0.233,0.177,5.0,29.0,2.47
"fc2_weight[0, 1]",0.422,0.223,0.147,0.883,0.099,0.074,5.0,23.0,2.49
"fc2_weight[0, 2]",0.603,0.789,-0.278,2.149,0.384,0.293,5.0,24.0,2.89
"fc2_weight[0, 3]",0.515,0.666,-0.678,1.431,0.321,0.244,5.0,30.0,2.25
"fc2_weight[0, 4]",0.124,0.395,-0.322,0.831,0.195,0.149,5.0,30.0,2.46
"fc2_weight[0, 5]",-0.305,0.161,-0.549,-0.066,0.072,0.054,5.0,26.0,2.03
"fc2_weight[0, 6]",-0.149,0.41,-0.753,0.33,0.201,0.153,5.0,26.0,2.13
"fc2_weight[0, 7]",0.228,0.482,-0.655,0.927,0.233,0.178,5.0,26.0,2.44
"fc2_weight[0, 8]",-0.284,0.529,-1.041,0.52,0.254,0.193,5.0,34.0,2.26
"fc2_weight[0, 9]",-0.216,1.209,-2.485,0.897,0.6,0.46,5.0,22.0,2.79
"fc2_weight[0, 10]",-0.066,0.372,-0.776,0.372,0.182,0.139,5.0,30.0,2.25
"fc2_weight[0, 11]",0.014,0.415,-0.436,0.941,0.197,0.15,5.0,11.0,2.18
"fc2_weight[0, 12]",0.154,0.678,-1.058,1.138,0.333,0.255,5.0,30.0,2.84
"fc2_weight[0, 13]",-0.05,0.337,-0.564,0.494,0.163,0.125,5.0,14.0,2.87
"fc2_weight[0, 14]",-0.132,0.236,-0.5,0.285,0.11,0.083,5.0,26.0,2.24
