,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[13, 2]",-0.256,0.461,-1.056,0.298,0.183,0.136,5.0,23.0,2.03
"fc1_weight[13, 3]",-0.8,1.19,-2.681,1.749,0.441,0.325,7.0,42.0,1.57
"fc1_weight[14, 0]",-1.046,8.847,-14.121,13.491,4.093,3.097,5.0,36.0,2.11
"fc1_weight[14, 1]",9.808,8.473,-4.15,23.253,3.673,2.754,6.0,38.0,1.92
"fc1_weight[14, 2]",0.128,0.46,-0.535,1.035,0.152,0.111,9.0,66.0,1.39
"fc1_weight[14, 3]",-1.208,7.004,-9.969,13.011,3.354,2.551,5.0,32.0,2.21
"fc1_weight[15, 0]",0.784,8.157,-15.134,18.233,3.402,2.54,6.0,12.0,1.89
"fc1_weight[15, 1]",-0.861,11.745,-21.371,17.247,5.157,3.874,5.0,25.0,2.04
"fc1_weight[15, 2]",-0.243,1.046,-2.736,0.886,0.45,0.337,7.0,32.0,1.64
"fc1_weight[15, 3]",-3.639,4.548,-13.315,1.686,1.993,1.497,5.0,13.0,2.22
"fc1_weight[16, 0]",-1.619,8.914,-16.367,13.17,4.104,3.103,5.0,30.0,2.01
"fc1_weight[16, 1]",4.002,9.513,-10.901,20.965,4.46,3.381,5.0,35.0,2.26
"fc1_weight[16, 2]",-0.718,2.37,-5.843,1.164,1.002,0.749,6.0,16.0,1.91
"fc1_weight[16, 3]",-2.516,2.771,-7.498,0.637,1.191,0.892,6.0,28.0,1.81
"fc1_weight[17, 0]",3.261,8.669,-8.563,19.204,3.669,2.744,6.0,39.0,1.67
"fc1_weight[17, 1]",-4.006,7.047,-16.59,7.284,2.172,1.581,11.0,25.0,1.27
"fc1_weight[17, 2]",-3.318,5.734,-15.108,0.935,2.422,1.811,6.0,24.0,1.9
"fc1_weight[17, 3]",-1.731,9.407,-17.639,12.212,4.378,3.316,5.0,26.0,2.13
"fc1_weight[18, 0]",2.022,8.255,-13.061,18.144,3.345,2.488,6.0,19.0,1.76
"fc1_weight[18, 1]",-3.149,10.184,-17.396,20.251,3.231,2.355,12.0,12.0,1.26
