Z,A,pairing,shell,Mexp,Mth_ws4,ws4_residuals
30,60,1.0,1.0,-54.1745,-54.7229,0.5484000000000009
24,61,0.0,2.769230769230769,-42.4965,-42.6607,0.164200000000001
25,61,0.0,2.1818181818181817,-51.7421,-51.7821,0.03999999999999915
26,61,0.0,1.5555555555555556,-58.9205,-59.076,0.15550000000000352
27,61,0.0,0.8571428571428571,-62.8982,-63.0145,0.11629999999999541
28,61,0.0,0.0,-64.222,-64.482,0.2600000000000051
29,61,0.0,0.8,-61.9841,-62.0272,0.04310000000000258
30,61,0.0,1.2,-56.3489,-56.566,0.21710000000000207
31,61,0.0,1.2,-47.1347,-47.2832,0.14849999999999852
24,62,1.0,2.857142857142857,-40.8526,-40.6788,-0.17379999999999995
25,62,-1.0,2.25,-48.524,-48.1907,-0.33330000000000126
26,62,1.0,1.6,-58.8781,-58.9438,0.06569999999999965
27,62,-1.0,0.875,-61.4244,-61.4551,0.030700000000003058
28,62,1.0,0.0,-66.7464,-66.7542,0.007800000000003138
29,62,-1.0,0.8333333333333334,-62.7875,-62.5682,-0.21930000000000405
30,62,1.0,1.3333333333333333,-61.1681,-61.4194,0.2513000000000005
31,62,-1.0,1.5,-51.987,-51.4931,-0.49390000000000356
24,63,0.0,2.933333333333333,-36.1783,-35.9462,-0.23210000000000264
25,63,0.0,2.3076923076923075,-46.8871,-46.5842,-0.30289999999999395
26,63,0.0,1.6363636363636365,-55.6356,-55.6281,-0.007499999999993179
27,63,0.0,0.8888888888888888,-61.8516,-61.7474,-0.10419999999999874
28,63,0.0,0.0,-65.5129,-65.498,-0.014899999999997249
29,63,0.0,0.8571428571428571,-65.5799,-65.311,-0.2688999999999879
30,63,0.0,1.4285714285714286,-62.2134,-62.4075,0.19409999999999883
31,63,0.0,1.7142857142857142,-56.5471,-56.7685,0.2214000000000027
32,63,0.0,1.7142857142857142,-46.9212,-47.215,0.2938000000000045
25,64,-1.0,2.357142857142857,-42.989,-42.8277,-0.1612999999999971
26,64,1.0,1.6666666666666667,-54.9696,-54.7615,-0.20810000000000173
27,64,-1.0,0.9,-59.7924,-59.4825,-0.30989999999999895
28,64,1.0,0.0,-67.099,-66.8408,-0.2582000000000022
29,64,-1.0,0.875,-65.4244,-64.9775,-0.4468999999999994
30,64,1.0,1.5,-66.004,-66.1311,0.12709999999999866
31,64,-1.0,1.875,-58.8328,-58.5481,-0.28470000000000084
32,64,1.0,2.0,-54.3155,-54.6956,0.38009999999999877
25,65,0.0,2.3076923076923075,-40.9673,-40.6658,-0.3015000000000043
26,65,0.0,1.6923076923076923,-51.2179,-51.151,-0.06689999999999685
27,65,0.0,0.9090909090909091,-59.1852,-59.1634,-0.02179999999999893
28,65,0.0,0.0,-65.1258,-65.0234,-0.10240000000000293
29,65,0.0,0.8888888888888888,-67.2637,-66.6088,-0.6548999999999978
30,65,0.0,1.5555555555555556,-65.912,-66.1268,0.21479999999999677
31,65,0.0,2.0,-62.6575,-62.6723,0.014800000000001035
32,65,0.0,2.2222222222222223,-56.4782,-56.825,0.3468000000000018
33,65,0.0,2.2222222222222223,-46.9371,-46.9801,0.04299999999999926
25,66,-1.0,2.25,-36.7504,-36.3113,-0.43909999999999627
26,66,1.0,1.6666666666666667,-50.0678,-49.9447,-0.12310000000000088
27,66,-1.0,0.9166666666666666,-56.4085,-56.462,0.053500000000006764
28,66,1.0,0.0,-66.0063,-65.7132,-0.2930999999999955
29,66,-1.0,0.9,-66.2583,-65.6735,-0.5848000000000013
30,66,1.0,1.6,-68.8992,-68.6322,-0.2669999999999959
31,66,-1.0,2.1,-63.7237,-63.5283,-0.19539999999999935
32,66,1.0,2.4,-61.607,-61.7625,0.15550000000000352
33,66,-1.0,2.5,-52.0251,-51.2096,-0.8155000000000001
26,67,0.0,1.6363636363636365,-45.7084,-45.8116,0.10320000000000107
27,67,0.0,0.9090909090909091,-55.3218,-55.6666,0.34479999999999933
28,67,0.0,0.0,-63.7427,-63.3621,-0.38060000000000116
29,67,0.0,0.9090909090909091,-67.3196,-66.6692,-0.6503999999999905
30,67,0.0,1.6363636363636365,-67.8804,-67.8578,-0.022599999999997067
31,67,0.0,2.1818181818181817,-66.8792,-66.4153,-0.4638999999999953
32,67,0.0,2.5454545454545454,-62.6737,-62.9618,0.2881
33,67,0.0,2.727272727272727,-56.5872,-56.9,0.31279999999999575
34,67,0.0,2.727272727272727,-46.5803,-46.7747,0.19440000000000168
27,68,-1.0,0.9,-51.6426,-52.1856,0.5429999999999993
28,68,1.0,0.0,-63.4638,-63.5663,0.10249999999999915
29,68,-1.0,0.9166666666666666,-65.567,-65.1122,-0.45479999999999166
30,68,1.0,1.6666666666666667,-70.0072,-69.7233,-0.2839000000000027
31,68,-1.0,2.25,-67.0861,-66.5304,-0.5557000000000016
32,68,1.0,2.6666666666666665,-66.9788,-66.7154,-0.2634000000000043
33,68,-1.0,2.9166666666666665,-58.8945,-58.9775,0.08299999999999841
34,68,1.0,3.0,-54.1894,-54.3796,0.19020000000000437
27,69,0.0,0.8888888888888888,-50.3854,-50.3497,-0.03569999999999851
28,69,0.0,0.0,-59.9787,-60.3046,0.3258999999999972
29,69,0.0,0.9090909090909091,-65.7362,-65.5309,-0.20529999999999404
30,69,0.0,1.6923076923076923,-68.4179,-68.3129,-0.10500000000000398
31,69,0.0,2.3076923076923075,-69.3278,-68.7443,-0.5835000000000008
32,69,0.0,2.769230769230769,-67.1007,-67.1521,0.051400000000001
33,69,0.0,3.076923076923077,-63.1122,-63.1763,0.06409999999999627
34,69,0.0,3.230769230769231,-56.4347,-56.9891,0.5544000000000011
35,69,0.0,3.230769230769231,-46.2595,-46.6516,0.3920999999999992
27,70,-1.0,0.875,-46.525,-46.7672,0.24220000000000397
28,70,1.0,0.0,-59.2139,-59.3611,0.147199999999998
29,70,-1.0,0.9,-62.9764,-63.1053,0.12890000000000157
30,70,1.0,1.6666666666666667,-69.5647,-69.5284,-0.03629999999999711
31,70,-1.0,2.357142857142857,-68.9101,-68.2223,-0.6877999999999957
32,70,1.0,2.857142857142857,-70.562,-70.2327,-0.3293000000000035
33,70,-1.0,3.2142857142857144,-64.334,-64.4629,0.12890000000000157
34,70,1.0,3.4285714285714284,-61.9299,-62.1164,0.18649999999999523
35,70,-1.0,3.5,-51.4256,-51.1355,-0.29010000000000247
28,71,0.0,0.0,-55.4062,-55.7483,0.34210000000000207
29,71,0.0,0.8888888888888888,-62.7111,-62.4353,-0.2758000000000038
30,71,0.0,1.6363636363636365,-67.3288,-67.3463,0.017499999999998295
31,71,0.0,2.3076923076923075,-70.1391,-69.7727,-0.3663999999999987
32,71,0.0,2.933333333333333,-69.9067,-69.994,0.08729999999999905
33,71,0.0,3.3333333333333335,-67.8933,-67.8718,-0.021500000000003183
34,71,0.0,3.6,-63.1465,-63.7873,0.6407999999999987
